subject,relationship_imp,relationship,emotion_type,action,emotion_intensity,mb_violation_us,mb_violation_cn,perspective,culture
28,80,parentchild,guilt,NoInvest4Needs,6,20254.76659,20103.02025,patient,usa
28,80,parentchild,guilt,NoTimeCompany,35,18568.05463,18514.14294,patient,usa
28,80,parentchild,guilt,ExpressDisagree,38,15768.63941,17008.19792,patient,usa
28,80,parentchild,guilt,RefuseTaskInstruct,32.5,16114.48674,17732.94676,patient,usa
28,80,parentchild,guilt,PursueOwnAction,15,16318.73407,17846.136,patient,usa
28,80,parentchild,guilt,AvoidSex,0,15975.8681,15630.41377,patient,usa
28,80,parentchild,guilt,DateOthers,0,18925.98752,18981.54456,patient,usa
28,80,parentchild,guilt,InvestRelationship,0,18135.50369,18133.01968,patient,usa
28,80,parentchild,guilt,NoShareReward,5,17746.8323,18546.92593,patient,usa
28,80,parentchild,guilt,RefuseCompensation,45,9953.391473,10949.61458,patient,usa
28,80,parentchild,guilt,NoCompensate4Help,37,14408.81171,15084.20197,patient,usa
29,58,fwb,guilt,ComplainTroubles,50,15020.9117,16715.50668,patient,usa
29,58,fwb,guilt,NoInvest4Needs,35.5,17750.00799,19487.32719,patient,usa
29,58,fwb,guilt,NoTimeCompany,41.5,16358.29797,17990.77938,patient,usa
29,58,fwb,guilt,ExpressDisagree,52,14322.14874,16798.25668,patient,usa
29,58,fwb,guilt,RefuseTaskInstruct,39,14875.77447,17603.64156,patient,usa
29,58,fwb,guilt,PursueOwnAction,27,14968.67611,17685.5195,patient,usa
29,58,fwb,guilt,AvoidSex,36.5,14239.69331,15363.36886,patient,usa
29,58,fwb,guilt,DateOthers,20,16840.51005,18607.28419,patient,usa
29,58,fwb,guilt,InvestRelationship,50,17355.41109,18125.97917,patient,usa
29,58,fwb,guilt,NoShareReward,52,16833.14801,18487.92869,patient,usa
29,58,fwb,guilt,RefuseCompensation,25.5,10290.93568,11262.78312,patient,usa
29,58,fwb,guilt,NoCompensate4Help,59.5,14094.84423,15187.26629,patient,usa
33,65,dr,guilt,ComplainTroubles,16.5,11968.67442,12295.14163,patient,usa
33,65,dr,guilt,NoInvest4Needs,40,13838.48256,14401.63829,patient,usa
33,65,dr,guilt,NoTimeCompany,16.5,12817.10447,13231.86696,patient,usa
33,65,dr,guilt,ExpressDisagree,55,13065.0731,12525.66363,patient,usa
33,65,dr,guilt,RefuseTaskInstruct,14.5,14378.03731,13408.5829,patient,usa
33,65,dr,guilt,PursueOwnAction,27.5,14154.45143,13335.51902,patient,usa
33,65,dr,guilt,AvoidSex,0,8757.862645,9443.766579,patient,usa
33,65,dr,guilt,DateOthers,0,12071.53301,12535.96967,patient,usa
33,65,dr,guilt,InvestRelationship,0,13759.47662,12859.61862,patient,usa
33,65,dr,guilt,NoShareReward,4.5,15120.32746,13953.16845,patient,usa
33,65,dr,guilt,RefuseCompensation,39,9919.789608,8273.568709,patient,usa
33,65,dr,guilt,NoCompensate4Help,26.5,12762.65649,11389.92236,patient,usa
35,0,fwb,guilt,ComplainTroubles,42.5,15020.9117,16715.50668,patient,usa
